district_id,district_name,region,description
0,State Total,Statewide,Sum of all districts (alias for district 18)
1,Mendocino,North Coast,Mendocino County
2,Lake,North Coast,Lake County
3,Sonoma/Marin,North Coast,Sonoma and Marin Counties
4,Napa,North Coast,Napa County
5,Solano,North Coast/Central,Solano County
6,Contra Costa/Alameda,Central Coast,Contra Costa and Alameda Counties
7,San Joaquin,Central Valley,San Joaquin County
8,Sacramento/Yolo,Sacramento Valley,Sacramento and Yolo Counties
9,El Dorado/Amador,Sierra Foothills,El Dorado and Amador Counties
10,San Benito/Santa Clara/Santa Cruz,Central Coast,"San Benito, Santa Clara, and Santa Cruz Counties"
11,Monterey,Central Coast,Monterey County
12,San Luis Obispo/Santa Barbara/Ventura,South Coast,"San Luis Obispo, Santa Barbara, and Ventura Counties"
13,Southern California,Southern California,"Los Angeles, Riverside, San Bernardino, San Diego Counties"
14,Stanislaus/Merced/Mariposa,Central Valley,"Stanislaus, Merced, and Mariposa Counties"
15,Madera,Central Valley,Madera County
16,Fresno,Central Valley,Fresno County
17,Tulare/Kings/Kern,Central Valley,"Tulare, Kings, and Kern Counties"
18,State Total,Statewide,State total (all districts combined)
